"date" "demand"
"662" 2016-10-23 56177
"663" 2016-10-24 44730
"664" 2016-10-25 49202
"665" 2016-10-26 50353
"666" 2016-10-27 58001
"667" 2016-10-28 63165
"668" 2016-10-29 71738
"669" 2016-10-30 66474
"670" 2016-10-31 48099
"671" 2016-11-01 48954
"672" 2016-11-02 47726
"673" 2016-11-03 53226
"674" 2016-11-04 61268
"675" 2016-11-05 68244
"676" 2016-11-06 56454
"677" 2016-11-07 43739
"678" 2016-11-08 40793
"679" 2016-11-09 48787
"680" 2016-11-10 51447
"681" 2016-11-11 58746
"682" 2016-11-12 66679
"683" 2016-11-13 54863
"684" 2016-11-14 43970
"685" 2016-11-15 48119
"686" 2016-11-16 47798
"687" 2016-11-17 52353
"688" 2016-11-18 60877
"689" 2016-11-19 70436
"690" 2016-11-20 59386
"691" 2016-11-21 48080
"692" 2016-11-22 50384
"693" 2016-11-23 53297
"694" 2016-11-24 47333
"695" 2016-11-25 41502
"696" 2016-11-26 50221
"697" 2016-11-27 46698
"698" 2016-11-28 40658
"699" 2016-11-29 46397
"700" 2016-11-30 50534
"701" 2016-12-01 53533
"702" 2016-12-02 61516
"703" 2016-12-03 69341
"704" 2016-12-04 54730
"705" 2016-12-05 45268
"706" 2016-12-06 53404
"707" 2016-12-07 49445
"708" 2016-12-08 54091
"709" 2016-12-09 65798
"710" 2016-12-10 71726
"711" 2016-12-11 55952
"712" 2016-12-12 45813
"713" 2016-12-13 47144
"714" 2016-12-14 52232
"715" 2016-12-15 62826
"716" 2016-12-16 69311
"717" 2016-12-17 66419
"718" 2016-12-18 58224
"719" 2016-12-19 51104
"720" 2016-12-20 51462
"721" 2016-12-21 53059
"722" 2016-12-22 55038
"723" 2016-12-23 58176
"724" 2016-12-24 55955
"725" 2016-12-25 36572
"726" 2016-12-26 31816
"727" 2016-12-27 35943
"728" 2016-12-28 41449
"729" 2016-12-29 42282
"730" 2016-12-30 53606
"731" 2016-12-31 64615
"732" 2017-01-01 56959
"733" 2017-01-02 33398
"734" 2017-01-03 41932
"735" 2017-01-04 43272
"736" 2017-01-05 47223
"737" 2017-01-06 52161
"738" 2017-01-07 44180
"739" 2017-01-08 45494
"740" 2017-01-09 44171
"741" 2017-01-10 41431
"742" 2017-01-11 43584
"743" 2017-01-12 45404
"744" 2017-01-13 56145
"745" 2017-01-14 59233
"746" 2017-01-15 50218
"747" 2017-01-16 34332
"748" 2017-01-17 44763
"749" 2017-01-18 42857
"750" 2017-01-19 46489
"751" 2017-01-20 53181
"752" 2017-01-21 56655
"753" 2017-01-22 46704
"754" 2017-01-23 46077
"755" 2017-01-24 44966
"756" 2017-01-25 44196
"757" 2017-01-26 48394
"758" 2017-01-27 56895
"759" 2017-01-28 61188
"760" 2017-01-29 49067
"761" 2017-01-30 41084
"762" 2017-01-31 42963
"763" 2017-02-01 45595
"764" 2017-02-02 49843
"765" 2017-02-03 58889
"766" 2017-02-04 65003
"767" 2017-02-05 52211
"768" 2017-02-06 41089
"769" 2017-02-07 43104
"770" 2017-02-08 47525
"771" 2017-02-09 21619
"772" 2017-02-10 57299
"773" 2017-02-11 63885
"774" 2017-02-12 52027
"775" 2017-02-13 44975
"776" 2017-02-14 49842
"777" 2017-02-15 47588
"778" 2017-02-16 51504
"779" 2017-02-17 55153
"780" 2017-02-18 59576
"781" 2017-02-19 52045
"782" 2017-02-20 40877
"783" 2017-02-21 39880
"784" 2017-02-22 42619
"785" 2017-02-23 48105
"786" 2017-02-24 55244
"787" 2017-02-25 66730
"788" 2017-02-26 55217
"789" 2017-02-27 44095
"790" 2017-02-28 43078
"791" 2017-03-01 47493
"792" 2017-03-02 52994
"793" 2017-03-03 62159
"794" 2017-03-04 69234
"795" 2017-03-05 51990
"796" 2017-03-06 43657
"797" 2017-03-07 44952
"798" 2017-03-08 46231
"799" 2017-03-09 51478
"800" 2017-03-10 58780
"801" 2017-03-11 65950
"802" 2017-03-12 52163
"803" 2017-03-13 49802
"804" 2017-03-14 10210
"805" 2017-03-15 47271
"806" 2017-03-16 53820
"807" 2017-03-17 58822
"808" 2017-03-18 66751
"809" 2017-03-19 50830
"810" 2017-03-20 41312
"811" 2017-03-21 41827
"812" 2017-03-22 50132
"813" 2017-03-23 48417
"814" 2017-03-24 54126
"815" 2017-03-25 61861
"816" 2017-03-26 51612
"817" 2017-03-27 40319
"818" 2017-03-28 46608
"819" 2017-03-29 45004
"820" 2017-03-30 49520
"821" 2017-03-31 63291
"822" 2017-04-01 60852
"823" 2017-04-02 51762
"824" 2017-04-03 42181
"825" 2017-04-04 44371
"826" 2017-04-05 46614
"827" 2017-04-06 51517
"828" 2017-04-07 58178
